Arrest Number,Race,Ethnicity,Sex,Age,Arrest Date,Arrest Time,Arrest Type,UCR Code,Description,F/M,Counts,Location of Arrest,X,Y,District,Beat,Tract
308436,B,N,M,20,12/29/18, 5:15:00PM,On-View,35A,POSSESS CS ON SCHOOL OR WITHIN 1000 FEET OF,F,1,BOOKER AVE/LUCAS DR,2027709.515,801437.5591,D4,415,2026
322919,B,N,M,26,4/15/21, 4:23:00PM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,M,1,200 N ROXBORO ST,2030239.069,816972.933,D5,512,2200
342016,B,,M,34,11/27/23, 9:33:00AM,On-View,35A,SIMPLE POSSESSION OF SCHEDULE II CONTROL SUBSTANCE,F,1,3100 N ROXBORO ST,2032319.757,830159.278,D2,213,101
317339,B,N,M,28,2/28/20, 4:10:00PM,On-View,35A,POSSESS WITM/S/D CONTROLL SUBSTANCE SCHEDULE VI,F,1,900 FISKE ST,2037513.625,817193.3465,D1,112,1002
834096,B,N,M,33,8/3/24, 3:07:00AM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,,1,4800 HOPE VALLEY RD,2011824.555,789934.2419,D3,323,2018
329607,B,N,M,26,3/11/22, 7:28:00AM,Warrant/OFA,13A,ASSAULT BY POINTING A GUN,M,1,2300 ERWIN RD,2018506.292,821859.615,D3,312,1501
321056,B,N,M,55,12/4/20, 1:29:00PM,On-View,35B,POSSESSION OF DRUG PARAPHERNALIA,M,1,4500 NC 55 HWY,2031410.969,784166.5773,D4,421,2027
311762,B,N,F,44,6/7/19,10:36:00PM,On-View,23H,LARCENY (MISDEMEANOR),M,1,4000 DURHAM CHAPEL HILL BLVD,2012011.767,806806.3106,D3,314,2015
320280,B,N,M,55,10/8/20, 8:26:00AM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,M,1,200 S MANGUM ST,2029105.164,816639.0712,D5,512,2300
310032,W,N,F,61,3/16/19, 9:18:00PM,On-View,23H,LARCENY (FELONY),F,1,6900 FAYETTEVILLE RD,2017306.639,783995.1358,D3,324,2021
318373,B,N,M,44,5/21/20,10:23:00PM,On-View,13C,COMMUNICATING THREATS,M,1,200 S MANGUM ST,2029387.3,816370.203,D5,512,2300
835605,B,,M,34,9/10/24, 7:58:00PM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,,1,700 EPWORTH PL,2004775.704,802392.8877,D3,323,2018
333983,B,,F,27,12/28/22, 5:09:00PM,On-View,23H,LARCENY (MISDEMEANOR),M,1,5400 NEW HOPE COMMONS DR,2000226.88,802592.9653,D3,321,2017
836230,B,N,M,45,10/25/24, 3:20:00PM,On-View,35A,POSSESS MARIJUANA UP TO 1/2 OZ,M,1,2000 CHAPEL HILL RD,2021558.107,813925.562,D3,311,600
336809,B,N,M,33,4/18/23, 2:41:00PM,On-View,35A,MAINTAIN DWELLING/VEH FOR CONTROLLED SUBSTANCE,F,1,BURLINGTON AVE/NEBO ST,2029887.455,807707.0343,D4,412,1303
314276,B,N,F,17,10/4/19, 6:29:00PM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,,1,600 E MAIN ST,2031281.934,815535.3098,D5,513,1100
324634,B,N,M,53,6/1/21, 8:50:00PM,On-View,13B,ASSAULT ON FEMALE,M,1,300 S LASALLE ST,2015947.346,824587.1218,D3,313,1502
